region,sales,product
New York,140,Wireless Earbuds
Los Angeles,230,Smart Speaker
Chicago,60,Bluetooth Keyboard
Houston,290,Smartwatch
Phoenix,100,Tablet Stand
Philadelphia,170,Wireless Mouse
San Antonio,70,USB-C Hub
San Diego,270,External Hard Drive
Dallas,80,Noise-Canceling Headphones
San Jose,410,Smart Thermostat
Austin,130,Robot Vacuum
Jacksonville,150,Air Purifier
Fort Worth,200,Smart Light Bulbs
Columbus,90,Wireless Charger
Charlotte,140,Home Security Camera
San Francisco,260,Bluetooth Speaker
Indianapolis,65,Portable Monitor
Seattle,120,Smart Plug
Denver,170,Streaming Device
Washington,210,Wireless Router
Boston,80,Smart Doorbell
El Paso,150,Desk Lamp
Nashville,40,Printer
Detroit,190,Smart Scale
Portland,130,Wireless Keyboard
Las Vegas,160,Smart Display
Memphis,70,Power Bank
Louisville,100,Bluetooth Adapter
Baltimore,180,Smart Lock
Milwaukee,90,Webcam
